Recording ID #,Region,Depth from pia (camera),Depth from pia (DAB),Layer 4 (DAB),Ratio,Morphology,DIV,Vm_start,Holding I at -70mV,APs,Max Hz,Current,Gain_i,Gain_max,ifreq_i,ifreq_max,I_train,SFA,CV,mAHP,Current_θ,time_θ,AP_θ,AP_peak,AP_amp,dvdt_max,dv/dt_min,f_AHP,duration,First Sweep,Last Sweep,Ih sag,Ih rebound,fr_inst_max_gain,fr_avg_max_gain,i_max_gain,Vm_subrheo,,Rn_Max,Rn_ss,Sag_ratio,rebound,Vm,Tau,sag,First Sweep,Last Sweep,PostSag,,F_reson,Q_reson,30dB_cut,ZAP_tau,Iphase,Phase_0,Z_max,ZAP_first,ZAP_last
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240823A,Ts1/2,,1352,1427,0.947442186,L3/4,3,-76,0,[0 0 0 1 1 5 8 10 13 15 17 19 21 22 24 26 27 29 30 31],[0 0 0 1 1 7.1317 16.521 23.907 33.844 43.495 51.309 60.91 66.502 73.503 76.897 88.852 97.544 100.46 104.66 106.84],[50 100 150 200 250 300 350 400 450 500 550 600 650 700 750 800 850 900 950 1000],0.039999999,0.079999998,0.082606703,0.23910415,400,1.5104004,0.24797226,-9.4895477,200,595.10559,-40.02858,30.002609,70.031189,221.11708,-70.691704,-1.480363,1.2515869,0,19,0.194639,0.19201928,88.852303,26,800,-64.036224,,103.52734,89.341965,1.1587762,-0.1974272,-69.757523,26.369862,0.13082741,20,30,0.13082741,,1.047619,1.0068593,3.1841917,49.982838,,,183.13907,34,34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240927A,Ts1/2,,,,,,0,-56,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
